id,Text,Label
0,"Vineet, what you are trying to do is a terrible idea! If you ever find yourself having to engineer something as fundamental as that, take a step back and work out what else does it! I don't really believe in the whole spoon fed SO thing, but what mtwebster says is on the right track!",negative
1,"'Course I do, corrected.",positive
2,"Excellent, happy to help! If you don't mind, can you accept my answer?",positive
3,@DrabJay: excellent suggestion! Code changed. :-),positive
4,Any decent browser should protect against malicious code in images so I don't think you'll have to worry. If you're truly concerned you can use a combination of getimagesize() and see about using a ClamAV extension/program to scan files for malicious code. Nothing is perfect though.,neutral
5,"@talnicolas I'm using it a few dozen times in my class. It's heavy to write, not easy to read and very painful to debug. I'm sorry, I didn't think the question was that subjective, maybe someone should move it to PROGRAMMERS!?",negative
6,I didn't select an answer because even though two of them helped neither of them is complete.,neutral
7,I swear - I don't put pseudo code I get told off for having bad variable names and things that don't match... I put pseudocode and I still get grief!,negative
8,I have attached below,neutral
9,This is for Tomcat 5.5,neutral
10,"Paraphrasing Cypher, ""StateOf.Confusion is bliss"", so... Do all `MapCollection Items` have the same state? If so then have a single `ItemStatus` that every `Item` references. [`Application.Properties`](http://msdn.microsoft.com/en-us/library/system.windows.application.properties%28v=vs.110%29.aspx) may be a way to globally communicate visualness.",neutral
11,Excellent! Thank you for your perseverence :),positive
12,"When I refactor the following line: using Resharper's ""Use Object Initializer"", I get the following: I really hate this type of formatting because with longer object names and variables it just gets out of control. How can I get Resharper to do the following?",negative
13,"Wow, I've just had a look at the Corona SDK. It looks excellent! A really intuitive way to build apps. Thanks for the tip!",positive
14,A few but they all seem proprietary.,neutral
15,"that's what I thought, that's why I'm surprised",neutral
16,"To push it to Heroku, you'll have to add it to your repo. Why don't you want to commit it? It's recommended to commit Gemfile.lock in your repo (unless you're developing a gem): When developing an app, check in your Gemfile.lock, since you will use the bundler tool across all machines, and the precision enforced by bundler is extremely desirable for applications.",negative
17,I want them to resize based on the length of the data they're showing.,neutral
18,@ThorbjÃ¸rn Ravn Andersen that's really great!,positive
